"","left","top","right","bottom","id","Hg","cellIdNew","cover","climate"
"210",3229999.99979807,1763999.99992613,3231999.99979807,1761999.99992613,678884,39,210,1.49234769047252,-0.789820193722238
"211",3229999.99979807,1761999.99992613,3231999.99979807,1759999.99992613,678885,39,211,1.24571601816245,-0.588128089719912
"212",3229999.99979807,1759999.99992613,3231999.99979807,1757999.99992613,678886,39,212,2.0331422335301,-0.969156535663478
"213",3229999.99979807,1757999.99992613,3231999.99979807,1755999.99992613,678887,39,213,1.6265928369511,-1.86854675662174
"214",3229999.99979807,1755999.99992613,3231999.99979807,1753999.99992613,678888,39,214,2.08949561523413,-2.64338486471067
"215",3231999.99979807,1765999.99992613,3233999.99979807,1763999.99992613,681139,39,215,2.04924319973125,-0.742338305009727
"216",3231999.99979807,1759999.99992613,3233999.99979807,1757999.99992613,681142,39,216,1.77150153276144,-1.47435545858626
"217",3231999.99979807,1751999.99992613,3233999.99979807,1749999.99992613,681146,39,217,0.99090263773893,-1.8232407819657
"218",3233999.99979807,1769999.99992613,3235999.99979807,1767999.99992613,683393,39,218,1.44151178503202,-0.615244478512381
"219",3233999.99979807,1763999.99992613,3235999.99979807,1761999.99992613,683396,39,219,0.802459091266022,-0.335743261909132
"220",3233999.99979807,1761999.99992613,3235999.99979807,1759999.99992613,683397,39,220,1.2482201312241,-0.462851709841733
"221",3233999.99979807,1753999.99992613,3235999.99979807,1751999.99992613,683401,39,221,2.08547037368384,-2.7272051044443
"222",3233999.99979807,1751999.99992613,3235999.99979807,1749999.99992613,683402,39,222,1.26386963483581,-1.95812690352257
"223",3235999.99979807,1767999.99992613,3237999.99979807,1765999.99992613,685650,39,223,1.73124911725856,-0.411905191347596
"224",3235999.99979807,1761999.99992613,3237999.99979807,1759999.99992613,685653,39,224,1.22406868192237,-0.192439993004055
"225",3235999.99979807,1753999.99992613,3237999.99979807,1751999.99992613,685657,39,225,1.91641022857178,-2.73886129160308
"226",3237999.99979807,1773999.99992613,3239999.99979807,1771999.99992613,687903,39,226,1.91238498702149,-0.329293399091402
"227",3237999.99979807,1771999.99992613,3239999.99979807,1769999.99992613,687904,39,227,1.13953860936634,0.008102844700268
"228",3237999.99979807,1761999.99992613,3239999.99979807,1759999.99992613,687909,39,228,0.182426743022038,-0.144810384579927
"229",3237999.99979807,1759999.99992613,3239999.99979807,1757999.99992613,687910,39,229,1.63886147934038,-1.12235464065371
"230",3237999.99979807,1757999.99992613,3239999.99979807,1755999.99992613,687911,39,230,2.08949561523413,-1.79063280081827
"231",3237999.99979807,1755999.99992613,3239999.99979807,1753999.99992613,687912,39,231,1.92043547012206,-2.20050247823032
"232",3239999.99979807,1769999.99992613,3241999.99979807,1767999.99992613,690161,39,232,1.42130551788645,0.263466310887763
"233",3239999.99979807,1767999.99992613,3241999.99979807,1765999.99992613,690162,39,233,1.83993063911632,0.051106439489219
"234",3239999.99979807,1763999.99992613,3241999.99979807,1761999.99992613,690164,39,234,2.01123766977594,-0.387912780805364
